"REF_DATE","GEO","DGUID","Seasonal adjustment","Activities","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1986-04","Canada","2016A000011124","Unadjusted","Other tourism activities","Jobs","190","thousands","3","v81684","1.1.12","55.0","","","","1"
"1986-04","Canada","2016A000011124","Unadjusted","Recreation and entertainment","Jobs","190","thousands","3","v81685","1.1.13","32.3","","","","1"
"1986-04","Canada","2016A000011124","Unadjusted","Travel agencies","Jobs","190","thousands","3","v81686","1.1.14","22.7","","","","1"
"1986-04","Canada","2016A000011124","Unadjusted","Other industries","Jobs","190","thousands","3","v81687","1.1.15","81.9","","","","1"
"1986-04","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","421.0","","","","1"
"1986-04","Canada","2016A000011124","Seasonally adjusted","Total tourism industries","Jobs","190","thousands","3","v81659","1.2.2","340.9","","","","1"
"1986-04","Canada","2016A000011124","Seasonally adjusted","Transportation","Jobs","190","thousands","3","v81660","1.2.3","55.6","","","","1"
"1986-04","Canada","2016A000011124","Seasonally adjusted","Air transportation","Jobs","190","thousands","3","v81661","1.2.4","35.8","","","","1"
"1986-04","Canada","2016A000011124","Seasonally adjusted","Other transportation","Jobs","190","thousands","3","v64605557","1.2.17","19.8","","","","1"
"1986-04","Canada","2016A000011124","Seasonally adjusted","Railway transportation","Jobs","190","thousands","3","v81662","1.2.5","3.8","","","t","1"
"1986-04","Canada","2016A000011124","Seasonally adjusted","Water transportation","Jobs","190","thousands","3","v81663","1.2.6","1.3","","","t","1"
"1986-04","Canada","2016A000011124","Seasonally adjusted","Bus transportation","Jobs","190","thousands","3","v81664","1.2.7","7.5","","","t","1"
"1986-04","Canada","2016A000011124","Seasonally adjusted","Other transportation industries","Jobs","190","thousands","3","v19458060","1.2.16","9.6","","","t","1"
"1986-04","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","103.4","","","","1"
"1986-04","Canada","2016A000011124","Seasonally adjusted","Food and beverage services","Jobs","190","thousands","3","v81668","1.2.11","128.1","","","","1"
"1986-04","Canada","2016A000011124","Seasonally adjusted","Other tourism activities","Jobs","190","thousands","3","v81669","1.2.12","53.8","","","","1"
"1986-04","Canada","2016A000011124","Seasonally adjusted","Recreation and entertainment","Jobs","190","thousands","3","v81670","1.2.13","30.7","","","","1"
"1986-04","Canada","2016A000011124","Seasonally adjusted","Travel agencies","Jobs","190","thousands","3","v81671","1.2.14","23.1","","","","1"
"1986-04","Canada","2016A000011124","Seasonally adjusted","Other industries","Jobs","190","thousands","3","v81672","1.2.15","80.1","","","","1"
"1986-07","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","436.7","","","","1"
"1986-07","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","353.1","","","","1"
"1986-07","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","54.7","","","","1"
"1986-07","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","35.9","","","","1"
"1986-07","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","18.8","","","","1"
"1986-07","Canada","2016A000011124","Unadjusted","Railway transportation","Jobs","190","thousands","3","v81677","1.1.5","3.8","","","t","1"
"1986-07","Canada","2016A000011124","Unadjusted","Water transportation","Jobs","190","thousands","3","v81678","1.1.6","1.4","","","t","1"
"1986-07","Canada","2016A000011124","Unadjusted","Bus transportation","Jobs","190","thousands","3","v81679","1.1.7","6.3","","","t","1"
"1986-07","Canada","2016A000011124","Unadjusted","Other transportation industries","Jobs","190","thousands","3","v19458059","1.1.16","9.3","","","t","1"
"1986-07","Canada","2016A000011124","Unadjusted","Accommodation","Jobs","190","thousands","3","v81682","1.1.10","107.9","","","","1"
"1986-07","Canada","2016A000011124","Unadjusted","Food and beverage services","Jobs","190","thousands","3","v81683","1.1.11","134.4","","","","1"
"1986-07","Canada","2016A000011124","Unadjusted","Other tourism activities","Jobs","190","thousands","3","v81684","1.1.12","56.1","","","","1"
"1986-07","Canada","2016A000011124","Unadjusted","Recreation and entertainment","Jobs","190","thousands","3","v81685","1.1.13","35.7","","","","1"
"1986-07","Canada","2016A000011124","Unadjusted","Travel agencies","Jobs","190","thousands","3","v81686","1.1.14","20.4","","","","1"
"1986-07","Canada","2016A000011124","Unadjusted","Other industries","Jobs","190","thousands","3","v81687","1.1.15","83.6","","","","1"
"1986-07","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","422.4","","","","1"
"1986-07","Canada","2016A000011124","Seasonally adjusted","Total tourism industries","Jobs","190","thousands","3","v81659","1.2.2","341.4","","","","1"
"1986-07","Canada","2016A000011124","Seasonally adjusted","Transportation","Jobs","190","thousands","3","v81660","1.2.3","55.8","","","","1"
"1986-07","Canada","2016A000011124","Seasonally adjusted","Air transportation","Jobs","190","thousands","3","v81661","1.2.4","35.8","","","","1"
"1986-07","Canada","2016A000011124","Seasonally adjusted","Other transportation","Jobs","190","thousands","3","v64605557","1.2.17","20.0","","","","1"
